"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy"
159,45.3667,0.867256637,15.37760533,41.7065,0.867256637,14.61289867,38.9046666666667,13.8860773333333,0.9588,44.6443333333333,13.6443653333333,0.9626
160,45.3371,0.845238095,15.47339733,41.1818,0.845238095,14.810344,37.0653333333333,13.7964,0.9423,44.389,13.753448,0.9423
161,46.0667,0.875502008,14.85624,42.3111,0.875502008,14.934896,37.432,14.8657413333333,0.8913,45.111,14.293608,0.8966
162,44.044,0.951008646,14.19445333,40.6087,0.951008646,13.26327467,37.678,15.8923626666667,0.8696,46.2396666666667,15.6927093333333,0.8662
163,43.4615,0.96875,12.62419733,39.3222,0.96875,13.356472,37.781,15.073304,0.8241,47.4993333333333,15.6216346666667,0.8269
164,43.8111,0.971608833,12.855872,39.8333,0.971608833,12.93017867,36.9356666666667,14.760608,0.9429,46.2666666666667,14.4785093333333,0.9408
165,43.9111,0.958448754,13.044064,39.8556,0.958448754,12.65735733,36.846,12.562144,0.9663,44.5533333333333,13.4305866666667,0.9677
166,44.3034,0.926267281,12.72285333,39.2022,0.926267281,14.23970667,36.9493333333333,12.77856,0.9587,43.503,12.9237573333333,0.9587
167,44.9111,0.919282511,14.47736,40.4505,0.919282511,13.13349867,36.7333333333333,13.422536,0.9645,43.6576666666667,13.2299706666667,0.9645
168,44.1319,0.96373057,14.00233333,39.4091,0.96373057,14.47264,36.8556666666667,12.6042533333333,0.9409,43.7223333333333,12.7976346666667,0.9409
169,44.9438,0.902723735,14.13705067,40.6813,0.902723735,13.39892,37.4286666666667,14.6672293333333,0.9158,44.4923333333333,14.0259066666667,0.9158
170,44.5556,0.930875576,13.51553333,40,0.930875576,14.38591733,37.8136666666667,14.3221546666667,0.9561,45.094,14.2226933333333,0.9561
171,46.1099,0.916408669,14.69825067,41.6889,0.916408669,14.474936,37.159,14.4361146666667,0.9156,44.967,14.1795866666667,0.92
172,45.0889,0.901840491,15.13296533,41.3222,0.901840491,14.45071733,36.8513333333333,13.157872,0.9353,44.6413333333333,13.7635653333333,0.9282
173,45.2778,0.909090909,14.609552,41.2222,0.909090909,14.03035733,38.803,14.8659706666667,0.9148,45.735,14.4128026666667,0.9148
174,43.5889,0.892561984,12.85014933,39.8571,0.892561984,12.29795467,37.534,15.7281813333333,0.908,46.367,15.238544,0.9085
175,43.2333,0.915384615,11.49438133,38.2667,0.915384615,11.45302133,37.654,14.4124266666667,0.9084,45.9953333333333,14.96496,0.9077
176,42.8111,0.818181818,10.32357867,38.4778,0.818181818,12.102976,36.9756666666667,13.0725173333333,0.8967,44.8713333333333,13.5951306666667,0.8967
177,44.1667,0.881118881,12.19709067,39.0449,0.881118881,13.71791467,36.9763333333333,11.8532453333333,0.901,43.227,12.431512,0.901
178,45.5556,0.919786096,15.44837333,41.0222,0.919786096,13.05991467,37.6666666666667,10.3040853333333,0.8611,42.1426666666667,10.907616,0.8649
