"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy","udp.throughput","udp.latency","udp.accuracy"
87,46.7363,0.858099063,13.719896,52.7222,0.867875648,12.34519467,38.2,12.834856,0.914,72.1,12.7935973333333,0.921,14106.282,33,0.898617512
88,46.3111,0.817039106,13.37919733,58.9556,0.861863847,13.56901333,38.2666666666667,12.779608,0.9228,71.697,13.1341893333333,0.92,14106.282,33,0.898617512
89,46.6854,0.837662338,13.01682667,54.8778,0.89059501,12.05327467,37.6,12.56628,0.935,71.0666666666667,12.563928,0.935,14106.282,33,0.898617512
90,46.3,0.856562923,13.45912267,50.9667,0.857877814,12.17788267,37.7,12.559224,0.8937,70.8333333333333,12.5187973333333,0.8937,13508.3496,33,0.879337539
91,49.5955,0.852830189,14.008016,54.8876,0.873873874,12.090824,37.4,12.8275653333333,0.9004,70.4,12.3571333333333,0.9004,13508.3496,33,0.879337539
92,46.2778,0.84496124,12.875048,52.1,0.895799236,12.18181067,37.0183333333333,12.9873066666667,0.9113,69.5,12.2605733333333,0.9087,13508.3496,33,0.879337539
93,46.3111,0.806004619,13.04684267,52.3222,0.893271462,12.345144,37.2333333333333,12.406352,0.9087,72.9666666666667,12.775008,0.9137,13508.3496,33,0.879337539
94,46.4222,0.831139096,12.90890133,65.8861,0.885361552,10.75494933,38.2,13.509616,0.9246,75.4666666666667,13.0341893333333,0.9168,13508.3496,33,0.879337539
95,46.2111,0.826285714,13.06587467,206.577,0.883131837,10.68060533,36.7,12.02892,0.9226,68.7816666666667,12.4756693333333,0.9266,13615.88696,33,0.893832392
96,46.3667,0.85884455,13.20004267,162.712,0.910938434,13.63870133,37.1333333333333,12.219728,0.9306,69.3183333333333,12.5618106666667,0.9297,13615.88696,33,0.893832392
97,46.4667,0.850718301,13.413528,54.3333,0.878655881,12.15154667,36.8,12.061784,0.9142,69.3333333333333,12.1066853333333,0.9187,13615.88696,33,0.893832392
98,46.1444,0.806671721,13.11131467,54.7333,0.848351648,12.88128,36.7666666666667,12.2156,0.9016,69.6303333333333,12.6694506666667,0.8997,13615.88696,33,0.893832392
99,46.7667,0.865177833,13.55897333,51.0333,0.859594384,11.844416,37.4,12.388888,0.9295,70.0666666666667,12.397544,0.9295,13615.88696,33,0.893832392
100,45.6667,0.87431694,12.46927467,48.5111,0.885159011,11.47594667,37.2,12.414856,0.9239,69.9,12.399024,0.9239,12354.86648,33,0.868794326
101,48.5,0.893280632,13.542008,50.2111,0.91048202,11.71829067,37.2636666666667,12.7535653333333,0.8811,70.7666666666667,12.5290133333333,0.8811,12354.86648,33,0.868794326
102,46.3222,0.846921797,12.45951467,50.8889,0.882123341,12.16866933,37.6243333333333,13.5962586666667,0.8994,70.6,12.5052,0.9019,12354.86648,33,0.868794326
103,45.9889,0.848920863,11.64290667,51.3956,0.853195164,12.49765867,36.5183333333333,10.6809493333333,0.9,69.5,12.2154106666667,0.8971,12354.86648,33,0.868794326
104,45.1798,0.898431049,11.154112,50.7889,0.934306569,12.06720267,37.5666666666667,13.0244453333333,0.9248,71.2666666666667,12.560376,0.9248,12354.86648,33,0.868794326
105,45.022,0.858784893,11.28391733,50.6444,0.851098454,11.84766933,36.3,11.6322373333333,0.8998,66.3333333333333,11.6482693333333,0.8998,12761.15336,33,0.900083403
106,45.0899,0.877850163,11.01761333,51.7614,0.88503937,10.86566933,36.6666666666667,11.6806,0.8825,66.8,11.7013333333333,0.8825,12761.15336,33,0.900083403
107,45.2667,0.873239437,10.99412,51.4222,0.88923802,11.463176,36.7333333333333,11.7428,0.9528,68.0666666666667,11.9413013333333,0.9528,12761.15336,33,0.900083403
108,45.4222,0.899653979,11.30052,54.2556,0.906144497,12.47626667,37.4666666666667,12.7349893333333,0.8747,69.9333333333333,12.225136,0.8747,12761.15336,33,0.900083403
109,45.2418,0.882468812,11.66469867,52.0659,0.900831734,12.357856,37.2453333333333,12.3889253333333,0.9138,68.7,12.0394186666667,0.9138,12761.15336,33,0.900083403
110,45.6742,0.854689564,11.81004533,49.7912,0.897160883,11.745496,37.2,12.1113226666667,0.9188,68,11.9160506666667,0.9188,13415.68528,33,0.9
111,48.3804,0.877537656,12.995536,52.1868,0.877642537,11.827056,37.097,11.9697146666667,0.9526,65.4666666666667,11.3973946666667,0.9535,13415.68528,33,0.9
112,45.6889,0.877300614,12.182008,50.8222,0.90157251,11.82064533,36,11.272664,0.9225,66.7666666666667,11.3440666666667,0.9263,13415.68528,33,0.9
113,46,0.858858859,12.53648267,51.5333,0.902411022,12.26056,38.3,13.22836,0.9143,69.2786666666667,12.468952,0.9146,13415.68528,33,0.9
114,46.1818,0.87144623,12.316296,88.2841,0.889957907,12.14092,35.9,11.179192,0.9006,71.988,12.799712,0.899,13415.68528,33,0.9
115,46.1333,0.856608479,12.52162933,84.0444,0.873703478,12.75891467,36.2333333333333,11.548872,0.9271,66.8,12.0850373333333,0.926,13569.57432,33,0.904738761
116,46.1111,0.875,13.06324267,52.4333,0.886322188,12.87634133,37.0333333333333,11.862688,0.9398,67.2333333333333,11.8410853333333,0.9398,13569.57432,33,0.904738761
117,46.5667,0.876136364,13.42016533,52.0114,0.911877395,12.56025333,36.4,11.79788,0.9123,67.2,11.8170293333333,0.9123,13569.57432,33,0.904738761
118,46.5556,0.847926267,13.517848,56.9674,0.912493121,14.27562133,36.4333333333333,12.6228533333333,0.8953,68.6,12.100584,0.8951,13569.57432,33,0.904738761
119,46.7033,0.857475276,13.973904,54.8791,0.891032917,13.45146667,37.888,13.0657786666667,0.9072,70.8333333333333,12.6010346666667,0.9075,13569.57432,33,0.904738761
120,47.2022,0.867420349,13.63601867,53.7978,0.878695209,12.78307467,38,12.636984,0.9256,71.3333333333333,12.6917866666667,0.9248,13559.3728,33,0.887604225
121,49.3587,0.874511991,14.90869067,51.5934,0.908008658,12.69470133,38.3333333333333,12.836528,0.9322,72.0546666666667,13.268552,0.9322,13559.3728,33,0.887604225
122,46.3667,0.904205608,13.626416,53.3409,0.910857143,12.79722933,38.2666666666667,12.877336,0.9294,75.5703333333333,13.1208053333333,0.9313,13559.3728,33,0.887604225
123,46.7,0.827244582,13.53657067,52.9674,0.834017595,12.70329333,39.8333333333333,14.33688,0.9242,78.5333333333333,14.4041973333333,0.9173,13559.3728,33,0.887604225
124,46.7889,0.825766871,13.79252533,53.1011,0.845508982,12.72268533,38.3666666666667,12.96376,0.94,74.5273333333333,13.1467653333333,0.944,13559.3728,33,0.887604225
125,47.1,0.827629911,13.97175467,52.1099,0.867995019,12.76833067,38.6666666666667,13.103496,0.9233,72.3273333333333,13.3441386666667,0.9226,13791.79664,33,0.878867834
126,47.1461,0.843559978,13.542808,52.1889,0.886620097,13.202272,37.7,12.558096,0.9015,71.1,12.6417973333333,0.9015,13791.79664,33,0.878867834
