hls.latency,hls.accuracy,hls.throughput
6530,0.8201438849,2850.08
6203,0.7777777778,3015.52
6442,0.8632478632,4036.736
6633,0.9418960245,4809.792
6557,0.9365558912,4254.816
6598,0.9263157895,4382.656
6242,0.8789808917,3874.304
5857,0.8830022075,3017.024
5915,0.8816793893,3078.688
5938,0.8660714286,3071.168
5945,0.8481675393,2675.616
5991,0.8794788274,3168.928
5992,0.8702290076,2621.472
6032,0.84,3021.536
6128,0.7339449541,4657.888
6157,0.9172932331,4782.72
6153,0.9291338583,4132.992
7340,0.9154929577,7234.24
7316,0.6495726496,3247.136
7478,0.6666666667,3268.192
6651,0.7225806452,3322.336
6670,0.8176100629,4215.712
6779,0.8620689655,3044.096
6959,0.9027777778,3573.504
6977,0.92,3436.64
6997,0.9222222222,3319.328
6987,0.9680365297,2610.944
6320,0.9044585987,6345.376
5563,0.9333333333,4884.992
5243,0.7818181818,4090.88
5324,0.8263473054,4860.928
5335,0.820083682,4554.112
5351,0.9449275362,4394.688
5351,0.9568627451,3851.744
5385,0.9567901235,4107.424
5468,0.9602272727,5470.048
5534,0.9035294118,6795.072
5486,0.9164785553,5000.8
4743,0.9375,5226.4
4513,0.9011857708,5128.64
4525,0.9158878505,4836.864
4529,0.8978328173,4382.656
4570,0.8714733542,4560.128
4666,0.8945454545,6184.448
4696,0.9010989011,6534.88
4722,0.8863636364,6619.104
4670,0.8358208955,4803.776
4737,0.8322147651,5790.4
4238,0.8924731183,10234.72
3652,0.9405405405,8738.24
3135,0.9304812834,7319.968
3087,0.9614243323,5713.696
3126,0.9746835443,5967.872
3224,0.962962963,7700.48
3277,0.8571428571,8357.728
3409,0.8633093525,10200.128
3303,0.9029535865,7883.968
3424,0.9206349206,8632.96
3425,0.89373297,8584.832
3521,0.88,10317.44
3558,0.9116607774,10639.296
3517,0.8275862069,9099.2
3527,0.8936170213,8787.872
3522,0.9554896142,8124.608
3557,0.9429429429,8168.224
3591,0.9677419355,8437.44
3626,0.8860759494,8682.592
3703,0.8874458874,9696.288
3143,0.9034749035,9341.344
2695,0.9153318078,9233.056
2689,0.9119170984,8530.688
2751,0.9315960912,9360.896
2787,0.9253731343,9604.544
2825,0.8387096774,9854.208
2776,0.82,8184.768
2741,0.9552238806,6749.952
2745,0.873015873,6240.096
2413,0.9315068493,13945.088
1859,0.7438016529,9422.56
1435,0.8965517241,12161.344
1535,0.9221556886,14149.632
1513,0.9212121212,13032.16
1430,0.9789473684,10564.096
